"payment_id","film_id","title","amount"
17685,373,"Graduate Lord",3.99
17686,566,"Maude Mod",2.99
17687,368,"Gone Trouble",5.99
17688,132,"Chainsaw Uptown",0.99
17689,349,"Gangs Pride",2.99
17690,894,"Tomatoes Hellfighters",0.99
17691,132,"Chainsaw Uptown",0.99
17692,924,"Unforgiven Zoolander",0.99
17693,489,"Juggler Hardly",0.99
17694,115,"Campus Remember",5.99
17695,7,"Airplane Sierra",4.99
17696,330,"Forrester Comancheros",6.99
17697,54,"Banger Pinocchio",0.99
17698,767,"Scalawag Duck",5.99
17699,694,"Prejudice Oleander",4.99
17700,7,"Airplane Sierra",7.99
17701,422,"Hollow Jeopardy",4.99
17702,507,"Ladybugs Armageddon",4.99
17703,143,"Chill Luck",3.99
17704,59,"Bear Graceland",5.99
17705,302,"Fantasia Park",2.99
17706,735,"Robbers Joon",2.99
17707,933,"Vampire Whale",7.99
17708,133,"Chamber Italian",5.99
17709,602,"Mourning Purple",0.99
17710,309,"Feud Frogmen",0.99
17711,122,"Carrie Bunch",2.99
17712,303,"Fantasy Troopers",2.99
17713,577,"Mile Mulan",2.99
17714,528,"Lolita World",6.99
17715,154,"Clash Freddy",2.99
17716,442,"Hunting Musketeers",2.99
17717,753,"Rush Goodfellas",4.99
17718,378,"Greatest North",6.99
17719,574,"Midnight Westward",1.99
17720,410,"Heaven Freedom",2.99
17721,331,"Forward Temple",4.99
17722,646,"Outbreak Divine",2.99
17723,167,"Coma Head",4.99
17724,12,"Alaska Phantom",0.99
17725,130,"Celebrity Horn",0.99
17726,728,"Reunion Witches",0.99
17727,338,"Frisco Forrest",4.99
17728,374,"Graffiti Love",0.99
17729,159,"Closer Bang",6.99
17730,140,"Cheaper Clyde",1.99
17731,888,"Thin Sagebrush",4.99
17732,582,"Miracle Virtual",6.99
17733,272,"Edge Kissing",5.99
17734,877,"Taxi Kick",1.99
17735,977,"Window Side",2.99
17736,103,"Bucket Brotherhood",6.99
17737,392,"Hall Cassidy",9.99
17738,991,"Worst Banger",2.99
17739,975,"Willow Tracy",5.99
17740,23,"Anaconda Confessions",0.99
17741,586,"Mockingbird Hollywood",3.99
17742,151,"Cincinatti Whisperer",6.99
17743,826,"Speed Suit",4.99
17744,420,"Holes Brannigan",4.99
17745,758,"Saints Bride",2.99
17746,460,"Innocent Usual",4.99
17747,460,"Innocent Usual",8.99
17748,295,"Expendable Stallion",3.99
17749,86,"Boogie Amelie",4.99
17750,114,"Camelot Vacation",6.99
17751,989,"Working Microcosmos",5.99
17752,890,"Tights Dawn",2.99
17753,75,"Bird Independence",4.99
17754,451,"Igby Maker",4.99
17755,638,"Operation Operation",2.99
17756,842,"State Wasteland",4.99
17757,629,"Notorious Reunion",0.99
17758,776,"Secret Groundhog",5.99
17759,809,"Slipper Fidelity",3.99
17760,645,"Others Soup",4.99
17761,415,"High Encino",5.99
17762,330,"Forrester Comancheros",4.99
17763,415,"High Encino",3.99
17764,204,"Dalmations Sweden",2.99
17765,164,"Coast Rainbow",0.99
17766,18,"Alter Victory",0.99
17767,702,"Pulp Beverly",7.99
17768,364,"Godfather Diary",4.99
17769,322,"Flatliners Killer",2.99
17770,493,"Kane Exorcist",0.99
17771,354,"Ghost Groundhog",4.99
17772,873,"Sweethearts Suspects",2.99
17773,169,"Comforts Rush",2.99
17774,496,"Kick Savannah",5.99
17775,568,"Memento Zoolander",8.99
17776,645,"Others Soup",2.99
17777,772,"Sea Virgin",2.99
17778,5,"African Egg",4.99
17779,702,"Pulp Beverly",5.99
17780,348,"Gandhi Kwai",0.99
17781,154,"Clash Freddy",4.99
17782,18,"Alter Victory",0.99
17783,185,"Cowboy Doom",2.99
17784,688,"Polish Brooklyn",0.99
17785,724,"Remember Diary",2.99
17786,301,"Family Sweet",5.99
17787,710,"Rage Games",4.99
17788,933,"Vampire Whale",4.99
17789,969,"West Lion",9.99
17790,246,"Doubtfire Labyrinth",5.99
17791,773,"Seabiscuit Punk",4.99
17792,254,"Driver Annie",2.99
17793,356,"Giant Troopers",2.99
17794,522,"Life Twisted",4.99
17795,877,"Taxi Kick",0.99
17796,559,"Married Go",2.99
17797,383,"Groove Fiction",0.99
17798,953,"Wait Cider",3.99
17799,571,"Metal Armageddon",2.99
17800,569,"Menagerie Rushmore",2.99
17801,380,"Greek Everyone",2.99
17802,160,"Club Graffiti",2.99
17803,257,"Drumline Cyclone",3.99
17804,851,"Straight Hours",0.99
17805,651,"Packer Madigan",0.99
17806,521,"Lies Treatment",4.99
17807,559,"Married Go",2.99
17808,288,"Escape Metropolis",4.99
17809,376,"Grapes Fury",0.99
17810,900,"Town Ark",4.99
17811,302,"Fantasia Park",2.99
17812,737,"Rock Instinct",5.99
17813,790,"Shootist Superfly",3.99
17814,833,"Splendor Patton",0.99
17815,103,"Bucket Brotherhood",6.99
17816,777,"Secretary Rouge",6.99
17817,897,"Torque Bound",8.99
17818,706,"Queen Luke",4.99
17819,403,"Harry Idaho",6.99
17820,436,"Hours Rage",0.99
17821,412,"Heavyweights Beast",6.99
17822,767,"Scalawag Duck",6.99
17823,322,"Flatliners Killer",7.99
17824,252,"Dream Pickup",2.99
17825,18,"Alter Victory",0.99
17826,560,"Mars Roman",0.99
17827,968,"Werewolf Lola",5.99
17828,191,"Crooked Frogmen",3.99
17829,101,"Brotherhood Blanket",5.99
17830,925,"United Pilot",1.99
17831,299,"Factory Dragon",0.99
17832,142,"Chicken Hellfighters",3.99
17833,122,"Carrie Bunch",2.99
17834,684,"Pizza Jumanji",3.99
17835,958,"Wardrobe Phantom",2.99
17836,402,"Harper Dying",0.99
17837,623,"Newton Labyrinth",5.99
17838,361,"Gleaming Jawbreaker",2.99
17839,968,"Werewolf Lola",7.99
17840,740,"Rollercoaster Bringing",2.99
17841,492,"Jungle Closer",0.99
17842,608,"Murder Antitrust",2.99
17843,154,"Clash Freddy",2.99
17844,307,"Fellowship Autumn",6.99
17845,656,"Papi Necklace",0.99
17846,143,"Chill Luck",0.99
17847,489,"Juggler Hardly",2.99
17848,239,"Dogma Family",4.99
17849,679,"Pilot Hoosiers",3.99
17850,915,"Truman Crazy",4.99
17851,462,"Insider Arizona",2.99
17852,465,"Interview Liaisons",6.99
17853,68,"Betrayed Rear",8.99
17854,686,"Pluto Oleander",5.99
17855,162,"Clueless Bucket",2.99
17856,398,"Hanover Galaxy",4.99
17857,418,"Hobbit Alien",0.99
17858,775,"Seattle Expecations",5.99
17859,682,"Pittsburgh Hunchback",7.99
17860,433,"Horn Working",3.99
17861,290,"Everyone Craft",3.99
17862,471,"Island Exorcist",2.99
17863,443,"Hurricane Affair",2.99
17864,545,"Madness Attacks",0.99
17865,395,"Handicap Boondock",0.99
17866,861,"Suit Walls",9.99
17867,966,"Wedding Apollo",5.99
17868,672,"Perfect Groove",2.99
17869,794,"Side Ark",2.99
17870,702,"Pulp Beverly",4.99
17871,233,"Disciple Mother",0.99
17872,797,"Silence Kane",0.99
17873,979,"Witches Panic",4.99
17874,893,"Titans Jerk",4.99
17875,119,"Caper Motions",0.99
17876,908,"Trap Guys",4.99
17877,574,"Midnight Westward",0.99
17878,123,"Casablanca Super",4.99
17879,379,"Greedy Roots",2.99
17880,735,"Robbers Joon",2.99
17881,521,"Lies Treatment",6.99
17882,385,"Groundhog Uncut",4.99
17883,501,"Kissing Dolls",4.99
17884,728,"Reunion Witches",5.99
17885,440,"Hunger Roof",0.99
17886,227,"Details Packer",8.99
17887,672,"Perfect Groove",2.99
17888,377,"Grease Youth",2.99
17889,816,"Snowman Rollercoaster",0.99
17890,397,"Hanky October",3.99
17891,454,"Impact Aladdin",1.99
17892,437,"House Dynamite",4.99
17893,112,"Calendar Gunfight",7.99
17894,774,"Searchers Wait",5.99
17895,435,"Hotel Happiness",4.99
17896,864,"Sundance Invasion",3.99
17897,911,"Trip Newton",6.99
17898,650,"Pacific Amistad",0.99
17899,450,"Idols Snatchers",2.99
17900,525,"Loathing Legally",0.99
17901,504,"Kwai Homeward",0.99
17902,382,"Grit Clockwork",2.99
17903,267,"Eagles Panky",4.99
17904,165,"Coldblooded Darling",4.99
17905,361,"Gleaming Jawbreaker",5.99
17906,846,"Sting Personal",7.99
17907,491,"Jumping Wrath",0.99
17908,225,"Destination Jerk",3.99
17909,944,"Virgin Daisy",5.99
17910,637,"Open African",4.99
17911,790,"Shootist Superfly",0.99
17912,258,"Drums Dynamite",2.99
17913,39,"Armageddon Lost",4.99
17914,560,"Mars Roman",0.99
17915,747,"Roxanne Rebel",2.99
17916,258,"Drums Dynamite",0.99
17917,263,"Durham Panky",4.99
17918,618,"Necklace Outbreak",2.99
17919,101,"Brotherhood Blanket",4.99
17920,619,"Neighbors Charade",0.99
17921,249,"Dracula Crystal",0.99
17922,21,"American Circus",6.99
17923,467,"Intrigue Worst",1.99
17924,370,"Gorgeous Bingo",3.99
17925,140,"Cheaper Clyde",0.99
17926,720,"Redemption Comforts",6.99
17927,481,"Jekyll Frogmen",4.99
17928,356,"Giant Troopers",5.99
17929,111,"Caddyshack Jedi",3.99
17930,717,"Rear Trading",0.99
17931,570,"Mermaid Insects",4.99
17932,367,"Goldmine Tycoon",0.99
17933,797,"Silence Kane",0.99
17934,591,"Monsoon Cause",5.99
17935,564,"Massage Image",7.99
17936,239,"Dogma Family",4.99
17937,421,"Holiday Games",4.99
17938,501,"Kissing Dolls",7.99
17939,27,"Anonymous Human",1.99
17940,123,"Casablanca Super",4.99
17941,446,"Hysterical Grail",5.99
17942,765,"Saturn Name",5.99
17943,391,"Half Outfield",2.99
17944,408,"Head Stranger",9.99
17945,55,"Barbarella Streetcar",2.99
17946,284,"Enemy Odds",4.99
17947,688,"Polish Brooklyn",1.99
17948,907,"Translation Summer",1.99
17949,234,"Disturbing Scarface",2.99
17950,477,"Jawbreaker Brooklyn",0.99
17951,181,"Contact Anonymous",2.99
17952,924,"Unforgiven Zoolander",0.99
17953,321,"Flash Wars",5.99
17954,73,"Bingo Talented",6.99
17955,411,"Heavenly Gun",4.99
17956,899,"Towers Hurricane",0.99
17957,83,"Blues Instinct",2.99
17958,721,"Reds Pocus",4.99
17959,647,"Outfield Massacre",0.99
17960,877,"Taxi Kick",0.99
17961,640,"Opus Ice",7.99
17962,771,"Scorpion Apollo",4.99
17963,753,"Rush Goodfellas",3.99
17964,850,"Story Side",0.99
17965,474,"Jade Bunch",2.99
17966,697,"Primary Glass",2.99
17967,393,"Halloween Nuts",5.99
17968,942,"Vietnam Smoochy",0.99
17969,85,"Bonnie Holocaust",0.99
17970,540,"Lucky Flying",2.99
17971,527,"Lola Agent",4.99
17972,417,"Hills Neighbors",0.99
17973,587,"Mod Secretary",4.99
17974,673,"Personal Ladybugs",0.99
17975,715,"Range Moonwalker",9.99
17976,79,"Blade Polish",0.99
17977,285,"English Bulworth",5.99
17978,544,"Madison Trap",4.99
17979,961,"Wash Heavenly",5.99
17980,768,"Scarface Bang",9.99
17981,365,"Gold River",4.99
17982,304,"Fargo Gandhi",2.99
17983,86,"Boogie Amelie",4.99
17984,230,"Diary Panic",2.99
17985,56,"Barefoot Manchurian",4.99
17986,15,"Alien Center",4.99
17987,78,"Blackout Private",2.99
17988,873,"Sweethearts Suspects",2.99
17989,843,"Steel Santa",4.99
17990,680,"Pinocchio Simon",8.99
17991,97,"Bride Intrigue",0.99
17992,529,"Lonely Elephant",7.99
17993,284,"Enemy Odds",8.99
17994,819,"Song Hedwig",3.99
17995,961,"Wash Heavenly",4.99
17996,443,"Hurricane Affair",2.99
17997,878,"Teen Apollo",8.99
17998,28,"Anthem Luke",4.99
17999,48,"Backlash Undefeated",9.99
18000,161,"Clue Grail",6.99
18001,463,"Instinct Airport",2.99
18002,898,"Tourist Pelican",8.99
18003,705,"Purple Movie",2.99
18004,554,"Malkovich Pet",2.99
18005,465,"Interview Liaisons",4.99
18006,891,"Timberland Sky",0.99
18007,314,"Fight Jawbreaker",0.99
18008,971,"Whale Bikini",9.99
18009,314,"Fight Jawbreaker",0.99
18010,697,"Primary Glass",0.99
18011,844,"Steers Armageddon",7.99
18012,219,"Deep Crusade",4.99
18013,333,"Freaky Pocus",2.99
18014,522,"Life Twisted",2.99
18015,263,"Durham Panky",4.99
18016,694,"Prejudice Oleander",4.99
18017,215,"Dawn Pond",4.99
18018,307,"Fellowship Autumn",6.99
18019,284,"Enemy Odds",5.99
18020,504,"Kwai Homeward",0.99
18021,938,"Velvet Terminator",4.99
18022,850,"Story Side",0.99
18023,531,"Lose Inch",0.99
18024,937,"Varsity Trip",2.99
18025,205,"Dances None",4.99
18026,113,"California Birds",4.99
18027,582,"Miracle Virtual",8.99
18028,340,"Frontier Cabin",7.99
18029,468,"Invasion Cyclone",3.99
18030,273,"Effect Gladiator",0.99
18031,941,"Videotape Arsenic",4.99
18032,129,"Cause Date",2.99
18033,117,"Candles Grapes",6.99
18034,304,"Fargo Gandhi",2.99
18035,46,"Autumn Crow",10.99
18036,858,"Submarine Bed",4.99
18037,488,"Joon Northwest",0.99
18038,376,"Grapes Fury",4.99
18039,501,"Kissing Dolls",6.99
18040,127,"Cat Coneheads",8.99
18041,228,"Detective Vision",4.99
18042,603,"Movie Shakespeare",4.99
18043,638,"Operation Operation",2.99
18044,735,"Robbers Joon",3.99
18045,22,"Amistad Midsummer",2.99
18046,628,"Northwest Polish",3.99
18047,800,"Sinners Atlantis",2.99
18048,374,"Graffiti Love",6.99
18049,595,"Moon Bunch",0.99
18050,118,"Canyon Stock",0.99
18051,952,"Wagon Jaws",2.99
18052,995,"Yentl Idaho",4.99
18053,211,"Darling Breaking",4.99
18054,963,"Watch Tracy",0.99
18055,958,"Wardrobe Phantom",2.99
18056,562,"Masked Bubble",0.99
18057,765,"Saturn Name",4.99
18058,19,"Amadeus Holy",0.99
18059,706,"Queen Luke",8.99
18060,514,"Lebowski Soldiers",3.99
18061,298,"Eyes Driving",3.99
18062,827,"Spice Sorority",4.99
18063,527,"Lola Agent",5.99
18064,175,"Confused Candles",2.99
18065,771,"Scorpion Apollo",8.99
18066,20,"Amelie Hellfighters",4.99
18067,503,"Kramer Chocolate",5.99
18068,110,"Cabin Flash",2.99
18069,707,"Quest Mussolini",2.99
18070,530,"Lord Arizona",3.99
18071,807,"Sleuth Orient",3.99
18072,967,"Weekend Personal",5.99
18073,5,"African Egg",3.99
18074,406,"Haunting Pianist",0.99
18075,583,"Mission Zoolander",7.99
18076,887,"Thief Pelican",4.99
18077,573,"Microcosmos Paradise",3.99
18078,252,"Dream Pickup",2.99
18079,166,"Color Philadelphia",4.99
18080,805,"Sleepless Monsoon",4.99
18081,893,"Titans Jerk",4.99
18082,625,"None Spiking",4.99
18083,263,"Durham Panky",4.99
18084,187,"Cranes Reservoir",3.99
18085,970,"Westward Seabiscuit",1.99
18086,973,"Wife Turn",4.99
18087,307,"Fellowship Autumn",4.99
18088,98,"Bright Encounters",9.99
18089,498,"Killer Innocent",3.99
18090,683,"Pity Bound",4.99
18091,840,"Stampede Disturbing",0.99
18092,235,"Divide Monster",2.99
18093,514,"Lebowski Soldiers",2.99
18094,15,"Alien Center",2.99
18095,336,"French Holiday",4.99
18096,843,"Steel Santa",7.99
18097,388,"Gunfight Moon",3.99
18098,49,"Badman Dawn",2.99
18099,778,"Secrets Paradise",8.99
18100,272,"Edge Kissing",5.99
18101,292,"Excitement Eve",2.99
18102,518,"Liaisons Sweet",4.99
18103,711,"Raging Airplane",6.99
18104,395,"Handicap Boondock",2.99
18105,438,"Human Graffiti",2.99
18106,792,"Shrek License",4.99
18107,747,"Roxanne Rebel",0.99
18108,613,"Mystic Truman",0.99
18109,914,"Trouble Date",2.99
18110,422,"Hollow Jeopardy",4.99
18111,873,"Sweethearts Suspects",4.99
18112,315,"Finding Anaconda",1.99
18113,777,"Secretary Rouge",5.99
18114,869,"Suspects Quills",5.99
18115,56,"Barefoot Manchurian",3.99
18116,728,"Reunion Witches",6.99
18117,886,"Theory Mermaid",2.99
18118,876,"Tarzan Videotape",5.99
18119,666,"Paycheck Wait",7.99
18120,857,"Strictly Scarface",7.99
18121,54,"Banger Pinocchio",0.99
18122,796,"Sierra Divide",0.99
18123,305,"Fatal Haunted",4.99
18124,621,"Network Peak",2.99
18125,352,"Gathering Calendar",0.99
18126,786,"Shepherd Midsummer",1.99
18127,390,"Guys Falcon",6.99
18128,624,"Nightmare Chill",5.99
18129,515,"Legally Secretary",4.99
18130,902,"Trading Pinocchio",7.99
18131,172,"Coneheads Smoochy",5.99
18132,433,"Horn Working",6.99
18133,150,"Cider Desire",2.99
18134,840,"Stampede Disturbing",0.99
18135,210,"Darko Dorado",9.99
18136,631,"Novocaine Flight",6.99
18137,81,"Blindness Gun",4.99
18138,278,"Elf Murder",4.99
18139,446,"Hysterical Grail",4.99
18140,525,"Loathing Legally",4.99
18141,923,"Unfaithful Kill",2.99
18142,621,"Network Peak",4.99
18143,608,"Murder Antitrust",5.99
18144,981,"Wolves Desire",0.99
18145,870,"Swarm Gold",0.99
18146,972,"Whisperer Giant",8.99
18147,458,"Indian Love",0.99
18148,762,"Sassy Packer",0.99
18149,126,"Casualties Encino",8.99
18150,326,"Flying Hook",5.99
18151,649,"Oz Liaisons",2.99
18152,252,"Dream Pickup",2.99
18153,763,"Satisfaction Confidential",10.99
18154,567,"Meet Chocolate",4.99
18155,596,"Moonshine Cabin",6.99
18156,203,"Daisy Menagerie",4.99
18157,625,"None Spiking",2.99
18158,724,"Remember Diary",2.99
18159,44,"Attacks Hate",7.99
18160,688,"Polish Brooklyn",1.99
18161,775,"Seattle Expecations",4.99
18162,525,"Loathing Legally",3.99
18163,618,"Necklace Outbreak",0.99
18164,524,"Lion Uncut",0.99
18165,783,"Shane Darkness",2.99
18166,617,"Natural Stock",0.99
18167,229,"Devil Desire",4.99
18168,304,"Fargo Gandhi",5.99
18169,347,"Games Bowfinger",4.99
18170,330,"Forrester Comancheros",4.99
18171,741,"Roman Punk",0.99
18172,862,"Summer Scarface",3.99
18173,961,"Wash Heavenly",4.99
18174,732,"Rings Heartbreakers",1.99
18175,65,"Behavior Runaway",10.99
18176,314,"Fight Jawbreaker",0.99
18177,427,"Homeward Cider",0.99
18178,26,"Annie Identity",2.99
18179,499,"King Evolution",4.99
18180,239,"Dogma Family",8.99
18181,166,"Color Philadelphia",4.99
18182,557,"Manchurian Curtain",2.99
18183,790,"Shootist Superfly",0.99
18184,179,"Conquerer Nuts",5.99
18185,753,"Rush Goodfellas",0.99
18186,236,"Divine Resurrection",2.99
18187,365,"Gold River",8.99
18188,317,"Fireball Philadelphia",5.99
18189,492,"Jungle Closer",0.99
18190,723,"Reign Gentlemen",6.99
18191,271,"Easy Gladiator",4.99
18192,345,"Gables Metropolis",0.99
18193,931,"Valentine Vanishing",0.99
18194,693,"Potter Connecticut",3.99
18195,253,"Drifter Commandments",8.99
18196,541,"Luke Mummy",2.99
18197,949,"Volcano Texas",0.99
18198,738,"Rocketeer Mother",6.99
18199,512,"League Hellfighters",8.99
18200,871,"Sweden Shining",7.99
18201,600,"Motions Details",0.99
18202,461,"Insects Stone",1.99
18203,971,"Whale Bikini",4.99
18204,660,"Party Knock",2.99
18205,281,"Encino Elf",2.99
18206,313,"Fidelity Devil",4.99
18207,832,"Splash Gump",0.99
18208,583,"Mission Zoolander",7.99
18209,605,"Mulholland Beast",2.99
18210,698,"Princess Giant",2.99
18211,658,"Paris Weekend",4.99
18212,709,"Racer Egg",2.99
18213,966,"Wedding Apollo",6.99
18214,70,"Bikini Borrowers",6.99
18215,962,"Wasteland Divine",2.99
18216,696,"Pride Alamo",0.99
18217,140,"Cheaper Clyde",0.99
18218,977,"Window Side",2.99
18219,361,"Gleaming Jawbreaker",2.99
18220,502,"Knock Warlock",4.99
18221,155,"Cleopatra Devil",1.99
18222,849,"Storm Happiness",0.99
18223,241,"Donnie Alley",0.99
18224,79,"Blade Polish",1.99
18225,810,"Slums Duck",0.99
18226,55,"Barbarella Streetcar",2.99
18227,483,"Jericho Mulan",2.99
18228,31,"Apache Divine",4.99
18229,559,"Married Go",3.99
18230,532,"Loser Hustler",5.99
18231,748,"Rugrats Shakespeare",0.99
18232,746,"Rouge Squad",0.99
18233,704,"Pure Runner",2.99
18234,667,"Peach Innocent",6.99
18235,589,"Modern Dorado",0.99
18236,776,"Secret Groundhog",4.99
18237,201,"Cyclone Family",2.99
18238,732,"Rings Heartbreakers",0.99
18239,839,"Stallion Sundance",1.99
18240,158,"Clones Pinocchio",4.99
18241,300,"Falcon Volume",4.99
18242,545,"Madness Attacks",4.99
18243,35,"Arachnophobia Rollercoaster",4.99
18244,958,"Wardrobe Phantom",2.99
18245,592,"Monster Spartacus",2.99
18246,700,"Prix Undefeated",2.99
18247,760,"Samurai Lion",2.99
18248,893,"Titans Jerk",8.99
18249,304,"Fargo Gandhi",8.99
18250,300,"Falcon Volume",5.99
18251,898,"Tourist Pelican",4.99
18252,789,"Shock Cabin",4.99
18253,329,"Forrest Sons",2.99
18254,42,"Artist Coldblooded",3.99
18255,89,"Borrowers Bedazzled",0.99
18256,287,"Entrapment Satisfaction",4.99
18257,900,"Town Ark",2.99
