"count","title","sum"
26,"Stagecoach Armageddon",312
29,"Deer Virginian",310
27,"Range Moonwalker",310
24,"Bound Cheaper",308
22,"Midsummer Groundhog",307
29,"Titans Jerk",307
23,"Titanic Boondock",307
25,"Escape Metropolis",307
25,"Shepherd Midsummer",306
27,"Goldmine Tycoon",306
32,"Ridgemont Submarine",306
25,"Telemark Heartbreakers",305
23,"Crooked Frogmen",305
28,"Fatal Haunted",304
28,"Handicap Boondock",304
29,"Greatest North",303
25,"Clash Freddy",303
24,"Gunfight Moon",302
26,"Fantasy Troopers",300
29,"Sweethearts Suspects",299
22,"South Wait",299
30,"Muscle Bright",299
25,"Tomorrow Hustler",298
24,"Knock Warlock",298
22,"Beauty Grease",297
29,"Family Sweet",297
22,"Queen Luke",297
26,"Contact Anonymous",297
22,"Homicide Peach",297
23,"Murder Antitrust",297
25,"Sun Confessions",295
21,"Arizona Bang",295
27,"Princess Giant",294
22,"High Encino",294
25,"Madness Attacks",294
23,"Candles Grapes",293
21,"Vacation Boondock",293
30,"Pulp Beverly",292
24,"Slums Duck",292
23,"Snowman Rollercoaster",291
24,"Arachnophobia Rollercoaster",291
26,"Innocent Usual",290
21,"Calendar Gunfight",290
20,"Hellfighters Sierra",289
27,"Dancing Fever",288
20,"Redemption Comforts",287
23,"Flamingos Connecticut",287
27,"None Spiking",287
22,"Tourist Pelican",287
23,"Steel Santa",287
26,"Tights Dawn",286
29,"Bingo Talented",286
22,"Angels Life",285
25,"Working Microcosmos",285
24,"Alamo Videotape",285
24,"Sunrise League",285
25,"Streetcar Intentions",285
27,"Lies Treatment",285
26,"Pity Bound",283
25,"Coneheads Smoochy",282
23,"Trouble Date",282
26,"Westward Seabiscuit",282
24,"Orange Grapes",282
30,"Rugrats Shakespeare",282
21,"Undefeated Dalmations",281
22,"Hustler Party",281
22,"Wonderland Christmas",281
17,"Breakfast Goldfinger",280
23,"Philadelphia Wife",280
24,"Atlantis Cause",280
24,"Roman Punk",279
21,"Sabrina Midnight",279
20,"Kissing Dolls",279
23,"Salute Apollo",279
22,"Snatch Slipper",278
21,"Brooklyn Desert",278
24,"Fargo Gandhi",278
22,"Whisperer Giant",277
21,"Wait Cider",277
25,"Mallrats United",276
24,"Celebrity Horn",276
19,"Hanging Deep",276
24,"Oz Liaisons",276
25,"Hills Neighbors",275
19,"Encounters Curtain",275
24,"Hurricane Affair",274
22,"American Circus",273
17,"Taxi Kick",273
27,"Forrester Comancheros",272
27,"Torque Bound",272
19,"Bill Others",272
30,"Cat Coneheads",272
25,"Gun Bonnie",272
21,"Fireball Philadelphia",271
27,"Movie Shakespeare",270
26,"Half Outfield",270
18,"Alone Trip",270
19,"Thief Pelican",269
21,"Blues Instinct",269
21,"Christmas Moonshine",268
26,"Fellowship Autumn",268
29,"Confidential Interview",268
20,"Harper Dying",268
21,"Dracula Crystal",267
31,"Goodfellas Salute",267
28,"Closer Bang",267
18,"Racer Egg",267
17,"Teen Apollo",266
26,"Seabiscuit Punk",266
21,"Grease Youth",264
17,"Louisiana Harry",264
30,"Shock Cabin",264
21,"Lebowski Soldiers",263
24,"Shootist Superfly",263
25,"Downhill Enough",263
23,"Yentl Idaho",262
21,"Excitement Eve",261
20,"Cheaper Clyde",261
24,"Horn Working",261
17,"Lady Stage",260
23,"Easy Gladiator",260
23,"Scorpion Apollo",260
19,"Road Roxanne",259
20,"Million Ace",259
22,"Banger Pinocchio",259
25,"Dynamite Tarzan",259
22,"Annie Identity",259
19,"Neighbors Charade",259
18,"Groove Fiction",259
20,"Garden Island",257
21,"Basic Easy",257
19,"Music Boondock",256
22,"Flatliners Killer",256
21,"Egg Igby",255
22,"Shakespeare Saddle",255
23,"Others Soup",255
16,"Pickup Driving",255
30,"Frost Head",255
22,"Maltese Hope",254
27,"Gangs Pride",254
20,"Intrigue Worst",254
24,"Attraction Newton",253
14,"Confessions Maguire",253
19,"Earring Instinct",253
22,"Haunting Pianist",253
23,"Wash Heavenly",252
20,"Straight Hours",252
21,"Open African",251
22,"Grapes Fury",251
23,"Gentlemen Stage",250
20,"Stepmom Dream",250
20,"Bringing Hysterical",250
23,"Wind Phantom",250
22,"Bear Graceland",250
21,"Secret Groundhog",250
22,"Head Stranger",250
21,"Moonshine Cabin",249
23,"Cupboard Sinners",249
15,"Nash Chocolat",248
23,"Strictly Scarface",248
21,"Coast Rainbow",248
24,"Mockingbird Hollywood",247
16,"Bonnie Holocaust",247
23,"Outbreak Divine",247
24,"Sleeping Suspects",247
22,"Chicken Hellfighters",246
20,"Peak Forever",246
26,"Durham Panky",246
23,"Karate Moon",246
25,"Metal Armageddon",245
17,"Waterfront Deliverance",245
19,"Mars Roman",245
20,"Outfield Massacre",245
20,"Heartbreakers Bright",244
26,"Alaska Phantom",244
27,"Curtain Videotape",243
19,"Eyes Driving",243
20,"Reunion Witches",243
21,"Wolves Desire",243
23,"Fool Mockingbird",243
20,"Flying Hook",242
17,"Ferris Mother",242
28,"Saturday Lambs",242
23,"Heavyweights Beast",242
27,"Blackout Private",242
16,"Casablanca Super",242
20,"Insider Arizona",241
20,"Kick Savannah",241
20,"Quest Mussolini",241
16,"Destiny Saturday",240
18,"Insects Stone",240
26,"Island Exorcist",240
18,"Birds Perdition",240
15,"Necklace Outbreak",240
21,"Chariots Conspiracy",240
16,"Silence Kane",239
16,"Patriot Roman",239
20,"Spice Sorority",239
18,"Paradise Sabrina",238
20,"Wrong Behavior",238
16,"Graduate Lord",238
17,"Poseidon Forever",238
16,"Pilot Hoosiers",237
21,"Beverly Outlaw",237
20,"Jerk Paycheck",237
17,"Mask Peach",237
21,"Doom Dancing",236
17,"Potter Connecticut",236
14,"Turn Star",236
21,"Divide Monster",235
16,"Homeward Cider",235
19,"Fiction Christmas",234
15,"Wasteland Divine",233
24,"Pacific Amistad",233
20,"Northwest Polish",233
18,"Cleopatra Devil",232
18,"Core Suit",232
15,"Submarine Bed",232
14,"Lovely Jingle",231
13,"Sassy Packer",231
18,"Driver Annie",231
17,"Bikini Borrowers",230
18,"Weekend Personal",230
20,"River Outlaw",230
22,"Congeniality Quest",229
19,"Voice Peach",229
21,"Driving Polish",229
19,"Jedi Beneath",228
21,"Chainsaw Uptown",228
23,"Academy Dinosaur",228
22,"Chill Luck",228
24,"Ice Crossing",228
16,"Conquerer Nuts",228
20,"Love Suicides",228
22,"Fight Jawbreaker",227
20,"Secrets Paradise",226
19,"Something Duck",226
15,"Airplane Sierra",226
17,"Noon Papi",226
24,"Lola Agent",226
22,"Alien Center",226
23,"Freddy Storm",226
16,"Trap Guys",225
21,"Pianist Outfield",225
21,"Unbreakable Karate",225
20,"Masked Bubble",225
15,"Labyrinth League",225
18,"Hope Tootsie",225
21,"Mourning Purple",224
17,"Rear Trading",224
24,"Seattle Expecations",223
21,"Pirates Roxanne",223
20,"Sleepless Monsoon",223
17,"League Hellfighters",223
19,"Details Packer",223
20,"Dalmations Sweden",223
25,"Trading Pinocchio",222
19,"Pond Seattle",222
25,"Feud Frogmen",222
22,"Blade Polish",221
17,"Hanover Galaxy",221
18,"Heaven Freedom",221
25,"Clueless Bucket",220
20,"Reign Gentlemen",219
15,"Monster Spartacus",219
17,"Holocaust Highball",219
21,"Sleuth Orient",219
14,"Shanghai Tycoon",218
22,"Packer Madigan",218
21,"Amadeus Holy",218
20,"Go Purple",218
21,"Sleepy Japanese",218
18,"Inch Jet",217
21,"Berets Agent",217
22,"Sea Virgin",217
21,"Suit Walls",217
16,"Wizard Coldblooded",217
22,"Falcon Volume",217
18,"Whale Bikini",217
16,"Paycheck Wait",217
17,"Jekyll Frogmen",216
19,"Shawshank Bubble",216
15,"Translation Summer",216
17,"Perfect Groove",215
19,"Sundance Invasion",215
16,"Quills Bull",215
21,"Cause Date",214
19,"Club Graffiti",214
19,"Fury Murder",214
21,"Resurrection Silverado",214
18,"Darn Forrester",214
15,"Panky Submarine",213
20,"Chocolat Harry",213
13,"Arabia Dogma",213
16,"Sagebrush Clueless",213
17,"French Holiday",213
19,"Fantasia Park",213
16,"Willow Tracy",213
14,"Greedy Roots",212
20,"Dinosaur Secretary",212
23,"Women Dorado",212
21,"Highball Potter",212
23,"Aladdin Calendar",211
21,"Ghost Groundhog",210
23,"House Dynamite",210
19,"Requiem Tycoon",210
13,"Past Suicides",209
13,"Breaking Home",209
22,"Volcano Texas",209
17,"Newton Labyrinth",209
18,"Scarface Bang",209
15,"Spirit Flintstones",209
16,"Wanda Chamber",208
25,"Double Wrath",208
26,"Velvet Terminator",208
19,"Gables Metropolis",208
15,"Steers Armageddon",208
22,"Dream Pickup",207
16,"Slipper Fidelity",207
18,"Smoking Barbarella",205
16,"Streak Ridgemont",205
12,"Savannah Town",205
11,"Drumline Cyclone",204
14,"Pajama Jawbreaker",204
20,"Minds Truman",204
16,"Varsity Trip",204
18,"Rouge Squad",203
17,"Idaho Love",202
12,"Uptown Young",202
18,"Barefoot Manchurian",202
22,"Liaisons Sweet",202
18,"Jade Bunch",202
20,"Interview Liaisons",202
19,"Bride Intrigue",202
17,"Gandhi Kwai",201
15,"Valley Packer",201
14,"Werewolf Lola",200
18,"Mission Zoolander",200
24,"Maiden Home",200
15,"Hysterical Grail",199
18,"Pollock Deliverance",199
18,"Instinct Airport",198
19,"Canyon Stock",198
18,"Remember Diary",198
17,"Factory Dragon",198
20,"Money Harold",198
20,"Room Roman",198
19,"Patient Sister",197
20,"Hunchback Impossible",197
23,"Affair Prejudice",196
15,"Manchurian Curtain",196
16,"Reap Unfaithful",196
14,"Shrunk Divine",196
14,"Searchers Wait",196
17,"Conversation Downhill",196
13,"Connecticut Tramp",195
13,"Bilko Anonymous",195
14,"Wrath Mile",194
20,"Chasing Fight",194
21,"Badman Dawn",194
17,"Beach Heartbreakers",194
17,"Lawless Vision",194
18,"Unforgiven Zoolander",193
19,"Igby Maker",193
16,"Artist Coldblooded",193
21,"Empire Malkovich",192
16,"Chicago North",192
15,"Sierra Divide",191
22,"Eagles Panky",191
19,"Gorgeous Bingo",191
21,"Anaconda Confessions",191
17,"Musketeers Wait",190
19,"Roxanne Rebel",190
18,"Expecations Natural",190
16,"Craft Outfield",189
17,"Joon Northwest",189
20,"Jet Neighbors",189
13,"Chisum Behavior",189
16,"Baked Cleopatra",189
15,"Scissorhands Slums",189
17,"Greek Everyone",188
18,"Sweden Shining",188
19,"Independence Hotel",188
20,"Prejudice Oleander",187
17,"Flintstones Happiness",187
19,"National Story",187
17,"Roots Remember",187
23,"Name Detective",187
18,"Lion Uncut",187
15,"Edge Kissing",187
18,"Boulevard Mob",186
19,"Rage Games",186
17,"United Pilot",186
17,"Satisfaction Confidential",186
16,"Worst Banger",185
14,"Image Princess",185
21,"Splendor Patton",185
16,"Bull Shawshank",185
16,"Gaslight Crusade",185
20,"Pinocchio Simon",184
22,"Sinners Atlantis",184
11,"Iron Moon",184
18,"Secretary Rouge",184
21,"Crossroads Casualties",184
18,"Polish Brooklyn",184
13,"Flash Wars",184
15,"Dirty Ace",184
15,"Cyclone Family",183
16,"Dude Blindness",183
21,"Fidelity Devil",183
16,"Attacks Hate",183
19,"Cider Desire",182
19,"Campus Remember",182
17,"Rock Instinct",182
19,"Clones Pinocchio",182
17,"Intentions Empire",181
16,"Command Darling",180
16,"Uprising Uptown",180
15,"Devil Desire",180
18,"Galaxy Sweethearts",180
18,"Enough Raging",180
12,"Pittsburgh Hunchback",180
15,"Charade Duffel",179
13,"Lawrence Love",179
16,"Pluto Oleander",178
25,"Oscar Gold",178
19,"Encino Elf",178
17,"Majestic Floats",178
19,"Backlash Undefeated",178
15,"Lonely Elephant",178
12,"Gunfighter Mussolini",178
15,"Worker Tarzan",177
12,"Adaptation Holes",177
13,"Darkness War",177
11,"Bugsy Song",177
14,"Donnie Alley",177
21,"Armageddon Lost",176
21,"Deceiver Betrayed",176
13,"Moonwalker Fool",175
16,"Jeepers Wedding",175
16,"Daisy Menagerie",175
15,"Human Graffiti",174
17,"Dying Maker",174
19,"Hours Rage",174
16,"Summer Scarface",174
13,"Champion Flatliners",174
12,"California Birds",173
10,"Stage World",173
10,"Maker Gables",173
13,"Hollywood Anonymous",173
18,"Dawn Pond",173
17,"Jericho Mulan",173
15,"Tootsie Pilot",173
17,"Confused Candles",172
13,"Natural Stock",172
17,"Virgin Daisy",172
16,"Mummy Creatures",172
12,"Sorority Queen",172
14,"Personal Ladybugs",172
12,"Liberty Magnificent",172
16,"Rules Human",170
17,"Slacker Liaisons",170
18,"Forrest Sons",170
15,"Cabin Flash",170
21,"Amistad Midsummer",169
19,"Novocaine Flight",169
13,"Wyoming Storm",169
13,"Raging Airplane",169
11,"Rider Caddyshack",168
16,"Lock Rear",167
13,"Tenenbaums Command",167
12,"Brannigan Sunrise",167
14,"Splash Gump",167
24,"Center Dinosaur",166
16,"Coldblooded Darling",166
14,"Stock Glass",166
13,"Spiking Element",166
17,"Orient Closer",166
18,"Groundhog Uncut",166
11,"Twisted Pirates",166
15,"Illusion Amelie",166
26,"Coma Head",164
19,"Desert Poseidon",164
12,"Tycoon Gathering",164
13,"Monterey Labyrinth",164
11,"Autumn Crow",163
23,"Earth Vision",163
11,"Gathering Calendar",163
13,"Cincinatti Whisperer",163
13,"Jingle Sagebrush",163
12,"Mighty Luck",163
16,"Rocky War",163
13,"Date Speed",162
14,"Analyze Hoosiers",162
15,"Loser Hustler",162
10,"Sensibility Rear",162
14,"Town Ark",162
18,"Wonka Sea",162
13,"Exorcist Sting",162
17,"Freaky Pocus",161
15,"Betrayed Rear",161
15,"Vietnam Smoochy",160
14,"Paris Weekend",160
18,"Candidate Perdition",159
16,"Indian Love",159
11,"Birch Antitrust",159
16,"Hall Cassidy",159
13,"Memento Zoolander",158
12,"Crow Grease",158
21,"Sting Personal",158
16,"Army Flintstones",158
19,"Doors President",158
13,"Saturn Name",157
13,"Bright Encounters",157
16,"Pure Runner",157
14,"Kane Exorcist",157
25,"Barbarella Streetcar",157
15,"Rings Heartbreakers",157
12,"Speakeasy Date",157
15,"Sons Interview",157
15,"Holiday Games",156
15,"Divine Resurrection",156
17,"Midnight Westward",156
12,"Born Spinal",156
12,"Dangerous Uptown",156
24,"Color Philadelphia",156
15,"Lust Lock",154
15,"Odds Boogie",154
12,"Mob Duffel",154
13,"Super Wyoming",154
15,"Model Fish",154
22,"Alter Victory",154
13,"Everyone Craft",153
12,"War Notting",153
19,"Trojan Tomorrow",153
14,"Hamlet Wisdom",153
21,"Star Operation",153
10,"Lambs Cincinatti",153
17,"Sugar Wonka",152
18,"Carol Texas",152
8,"Punk Divorce",152
14,"Notorious Reunion",152
10,"Reservoir Adaptation",151
12,"Temple Attraction",150
16,"Creatures Shakespeare",150
14,"Troopers Metal",150
13,"Hook Chariots",150
10,"Lolita World",149
9,"Reds Pocus",149
10,"Paths Control",149
16,"Watch Tracy",149
14,"Tomatoes Hellfighters",148
11,"Fugitive Maguire",148
15,"Shrek License",147
18,"Jacket Frisco",146
13,"Robbery Bright",146
19,"Mine Titans",146
10,"Elizabeth Shane",146
15,"Siege Madre",145
9,"Legend Jedi",145
14,"Blindness Gun",145
15,"Circus Youth",144
11,"Towers Hurricane",143
13,"Microcosmos Paradise",143
17,"Egypt Tenenbaums",142
13,"Mile Mulan",142
11,"Dragon Squad",141
19,"Disciple Mother",141
13,"Bedazzled Married",141
16,"Caddyshack Jedi",141
14,"Home Pity",141
17,"Zoolander Fiction",141
14,"Alley Evolution",141
13,"Opposite Necklace",140
14,"Glass Dying",140
11,"Theory Mermaid",139
10,"Hollow Jeopardy",139
14,"Virtual Spoilers",139
16,"Motions Details",139
14,"Dances None",138
18,"Dragonfly Strangers",137
17,"Comforts Rush",137
14,"Outlaw Hanky",137
14,"Creepers Kane",137
14,"Grinch Massage",137
11,"Santa Paris",136
15,"Sweet Brotherhood",136
11,"Feathers Metal",136
14,"Day Unfaithful",136
13,"Mulan Moon",136
10,"Jawbreaker Brooklyn",136
16,"Pride Alamo",134
10,"Element Freddy",134
13,"Party Knock",134
9,"Victory Academy",134
16,"West Lion",134
11,"Lord Arizona",134
15,"Ship Wonderland",133
14,"Peach Innocent",133
14,"Stampede Disturbing",133
13,"Chamber Italian",133
12,"Silverado Goldfinger",133
8,"Jumanji Blade",132
8,"Soldiers Evolution",131
9,"Zhivago Core",131
10,"Clockwork Paradise",131
12,"Finding Anaconda",131
10,"Beneath Rush",131
19,"Honey Ties",130
8,"Godfather Diary",130
9,"Spartacus Cheaper",130
10,"Luck Opus",129
9,"Birdcage Casper",129
13,"Express Lonely",129
14,"Uncut Suicides",129
14,"Elephant Trojan",128
14,"Shane Darkness",128
9,"Dares Pluto",128
10,"Oleander Clue",127
13,"Tuxedo Mile",127
6,"Youth Kick",127
11,"Magnolia Forrester",126
15,"Madison Trap",126
12,"Meet Chocolate",126
12,"Smoochy Control",126
11,"Ties Hunger",126
12,"Evolution Alter",125
11,"Prix Undefeated",124
15,"Holes Brannigan",124
16,"Mermaid Insects",124
14,"Impossible Prejudice",124
14,"Gold River",124
9,"Holy Tadpole",124
8,"Grosse Wonderful",124
14,"Games Bowfinger",123
13,"Forever Candidate",123
11,"Opus Ice",123
14,"Jaws Harry",123
12,"Vampire Whale",123
13,"Spinal Rocky",122
9,"Won Dares",122
9,"Kramer Chocolate",121
11,"Beast Hunchback",121
13,"Drums Dynamite",121
13,"Behavior Runaway",121
14,"Madre Gables",121
13,"State Wasteland",120
11,"Bird Independence",120
20,"Tramp Others",120
13,"Hunger Roof",120
9,"Wonderful Drop",120
16,"Moulin Wake",120
8,"Chitty Lock",120
8,"Sunset Racer",120
11,"Potluck Mixed",119
12,"Massage Image",119
10,"Grail Frankenstein",119
12,"Flight Lies",119
18,"Vanishing Rocky",119
14,"Mother Oleander",119
12,"Window Side",118
10,"Rollercoaster Bringing",118
10,"Run Pacific",118
15,"Entrapment Satisfaction",118
11,"Frida Slipper",118
7,"Heavenly Gun",118
7,"Stallion Sundance",117
15,"Boiled Dares",117
10,"Smile Earring",116
11,"Song Hedwig",116
11,"Darko Dorado",116
8,"Pet Haunting",116
10,"Fiddler Lost",115
9,"Intolerable Intentions",115
13,"Anonymous Human",115
12,"Hedwig Alter",114
9,"Gilbert Pelican",114
9,"Jungle Closer",114
10,"Mystic Truman",114
14,"Nemo Campus",113
10,"Jeopardy Encino",113
13,"Identity Lover",113
8,"Vertigo Northwest",112
13,"Purple Movie",112
11,"Mod Secretary",112
8,"Park Citizen",112
9,"Speed Suit",112
11,"North Tequila",111
8,"Runaway Tenenbaums",111
11,"Spirited Casualties",110
12,"Lost Bird",110
7,"License Weekend",110
10,"Halloween Nuts",110
9,"Anything Savannah",110
9,"King Evolution",110
8,"Records Zorro",110
7,"Elf Murder",109
9,"Snatchers Montezuma",109
10,"Amelie Hellfighters",109
10,"Blood Argonauts",108
15,"Mosquito Armageddon",107
6,"Simon North",107
9,"Maguire Apache",107
9,"Platoon Instinct",107
8,"Desire Alien",107
8,"Saints Bride",106
8,"Maude Mod",106
7,"Vision Torque",106
11,"Thin Sagebrush",106
11,"October Submarine",106
12,"Valentine Vanishing",106
15,"Hunting Musketeers",106
6,"Italian African",105
7,"Cowboy Doom",105
12,"Blanket Beverly",105
9,"Frisco Forrest",105
13,"Citizen Shrek",104
8,"Soup Wisdom",104
9,"Crazy Home",104
9,"Random Go",104
13,"Usual Untouchables",103
17,"Strangers Graffiti",103
6,"Bed Highball",103
7,"Leathernecks Dwarfs",102
9,"Wisdom Worker",102
9,"Darling Breaking",102
13,"Daddy Pittsburgh",101
11,"Beethoven Exorcist",101
15,"Panther Reds",101
7,"Young Language",100
11,"Bowfinger Gables",100
7,"Doctor Grail",100
6,"Wild Apollo",99
10,"Wars Pluto",98
9,"Drop Waterfront",98
16,"Words Hunter",98
11,"Stranger Strangers",98
10,"Gone Trouble",98
9,"Nuts Ties",97
9,"Guys Falcon",97
11,"Reef Salute",97
9,"Legally Secretary",97
12,"Loverboy Attacks",95
10,"Notting Speakeasy",95
8,"Runner Madigan",94
8,"Crusade Honey",94
12,"African Egg",94
9,"Casualties Encino",94
9,"Caribbean Liberty",94
11,"Language Cowboy",94
9,"Daughter Madigan",94
15,"Modern Dorado",93
9,"Ali Forever",93
10,"Right Cranes",93
7,"Panic Club",93
10,"Madigan Dorado",93
6,"Tequila Past",92
12,"Side Ark",92
7,"Fire Wolves",92
8,"Chaplin License",91
8,"Hoosiers Birdcage",91
7,"Ishtar Rocketeer",91
6,"Sling Luke",91
11,"Stone Fire",91
7,"Dozen Lion",91
9,"Ghostbusters Elf",90
6,"Ladybugs Armageddon",90
7,"Sense Greek",90
11,"Ending Crowds",89
7,"Control Anthem",89
7,"Treatment Jekyll",89
12,"Alabama Devil",89
10,"Superfly Trip",88
18,"Airport Pollock",88
7,"Cruelty Unforgiven",88
5,"Private Drop",87
8,"World Leathernecks",86
12,"Minority Kiss",86
8,"Gosford Donnie",86
14,"Deep Crusade",86
15,"Anthem Luke",86
7,"Early Home",85
11,"Trainspotting Strangers",84
6,"Phantom Glory",83
8,"Lights Deer",82
8,"Clyde Theory",82
6,"Apocalypse Flamingos",81
7,"Newsies Story",81
6,"Dumbo Lust",80
9,"Hotel Happiness",80
10,"Frogmen Breaking",80
10,"Wagon Jaws",79
8,"Casper Dragonfly",78
8,"Tarzan Videotape",78
7,"Clerks Angels",78
8,"Destination Jerk",78
10,"Life Twisted",77
10,"Spoilers Hellfighters",77
7,"Magic Mallrats",77
8,"Magnificent Chitty",77
10,"Lover Truman",76
8,"Ballroom Mockingbird",76
9,"Miracle Virtual",75
8,"Unfaithful Kill",75
9,"Montezuma Command",75
6,"School Jacket",75
9,"Dwarfs Alter",74
8,"Untouchables Sunrise",74
6,"Frontier Cabin",74
6,"Bubble Grosse",74
5,"Braveheart Human",73
8,"Baby Hall",73
7,"Hawk Chill",73
8,"Shining Roses",73
8,"Harold French",71
5,"Hunter Alter",71
5,"Traffic Hobbit",70
7,"Luke Mummy",70
5,"Informer Double",70
7,"Lesson Cleopatra",68
6,"Killer Innocent",68
5,"Seven Swarm",68
6,"Graceland Dynamite",65
7,"President Bang",65
11,"Cranes Reservoir",65
5,"Freedom Cleopatra",65
7,"Divorce Shining",65
14,"Saddle Antitrust",64
5,"Fever Empire",64
10,"Antitrust Tomatoes",64
9,"Impact Aladdin",63
6,"Jersey Sassy",60
9,"Monsoon Cause",58
7,"Duffel Apocalypse",57
9,"Dolls Rage",55
7,"Menagerie Rushmore",55
6,"Warlock Werewolf",55
6,"Watership Frontier",55
7,"Bang Kwai",54
6,"Desperate Trainspotting",54
6,"Duck Racer",52
10,"Doubtfire Labyrinth",52
13,"Lucky Flying",50
5,"Mussolini Spoilers",50
9,"Matrix Snowman",50
6,"Extraordinary Conquerer",49
7,"Squad Fish",49
7,"Connection Microcosmos",48
6,"Texas Watch",48
5,"Mannequin Worst",47
5,"Conspiracy Spirit",47
7,"Mulholland Beast",47
7,"Clue Grail",47
6,"Terminator Club",46
6,"Happiness United",46
7,"Ace Goldfinger",43
5,"Full Flatliners",42
6,"Haunted Antitrust",41
4,"Hardly Robbers",40
7,"Vanished Garden",40
6,"Rushmore Mermaid",39
8,"Papi Necklace",38
7,"Pizza Jumanji",35
6,"Comancheros Enemy",35
6,"Cassidy Wyoming",35
7,"Bulworth Commandments",32
6,"Japanese Run",32
4,"Train Bunch",32
6,"Oklahoma Jumanji",31
5,"Glory Tracy",30
8,"Rebel Airport",28
7,"Eve Resurrection",26
9,"Diary Panic",24
9,"Vanilla Day",22
4,"Mixed Doors",18
5,"Bunch Minds",12
